road_function,full_count,with_lsoa_count,no_lsoa_count,full_pct,with_lsoa_pct,no_lsoa_pct,no_lsoa_share_of_category_pct
Restricted Local Access Road,451126,309039,142087,20.812647602808138,16.870184211172766,42.32659699963061,31.49607870085076
Minor Road,378407,276972,101435,17.457764663166873,15.119673120017033,30.21668672473577,26.805793761743306
Local Road,983644,936128,47516,45.380306031167805,51.102455694060424,14.154641754942029,4.830609448133674
A Road,155534,133687,21847,7.175543711191909,7.2978631067245665,6.508049044957878,14.04644643614901
B Road,89286,71875,17411,4.119199633504447,3.923596989952862,5.186599621081229,19.500257599175683
Local Access Road,23862,20778,3084,1.100870703746199,1.1342538887963907,0.9186992838673546,12.92431481015841
Secondary Access Road,81614,79875,1739,3.7652527707460517,4.360310394051963,0.5180343886658008,2.130761879089372
Motorway,4084,3511,573,0.1884148836685725,0.19166259522399304,0.17069218211932366,14.030362389813908
