road_function,full_count,full_pct,with_ruc_count,with_ruc_pct,no_ruc_count,no_ruc_pct,no_ruc_share_of_function_pct
Restricted Local Access Road,451126,20.812647602808138,309039,16.870184211172766,142087,42.32659699963061,31.49607870085076
Minor Road,378407,17.457764663166873,276972,15.119673120017033,101435,30.21668672473577,26.805793761743306
Local Road,983644,45.380306031167805,936128,51.102455694060424,47516,14.154641754942029,4.830609448133674
A Road,155534,7.175543711191909,133687,7.2978631067245665,21847,6.508049044957878,14.04644643614901
B Road,89286,4.119199633504447,71875,3.923596989952862,17411,5.186599621081229,19.500257599175683
Local Access Road,23862,1.100870703746199,20778,1.1342538887963907,3084,0.9186992838673546,12.92431481015841
Secondary Access Road,81614,3.7652527707460517,79875,4.360310394051963,1739,0.5180343886658008,2.130761879089372
Motorway,4084,0.1884148836685725,3511,0.19166259522399304,573,0.17069218211932366,14.030362389813908
