link_id,road_function,road_classification,distance_to_nearest_lsoa_polygon_m,distance_to_nearest_lsoa_polygon_edge_m
6B2CA58A-C5EE-4184-A39F-AE87EC18B919,Minor Road,Unclassified,0.0,669.7159441123196
A48EB1EE-77C4-492C-A525-D451D6CF2E2F,Minor Road,Unclassified,0.0,692.7028666951932
7B65BC82-ACB9-459E-96A8-90DB455ECE01,Local Road,Unclassified,0.0,1248.4498707599046
EBFFFE85-78F7-40B7-9EA2-EA5B76E3161C,Minor Road,Unclassified,0.0,1841.386640892875
4A95C3D2-0448-4F36-8F23-421E923E60DC,Restricted Local Access Road,Unknown,0.0,0.0
44034FA9-5DDF-4AEB-A584-60C50769AC1E,Restricted Local Access Road,Unclassified,0.0,1921.0563354816231
97A07F1B-F3C7-4933-869C-4131228E62BE,Restricted Local Access Road,Unknown,0.0,328.3393840447154
AFB05D33-D8B3-481B-914A-51AC8F4A882E,Minor Road,Classified Unnumbered,0.0,469.51421125660994
E45EEE34-3140-4B32-9144-607E7A75AB79,A Road,A Road,0.0,1042.929573679887
B50238A5-D385-4528-8CDB-F09AD53FF26F,Restricted Local Access Road,Unknown,0.0,154.5688980991501
C533BEAB-2554-48E2-B404-6CB109C336FA,Restricted Local Access Road,Unknown,0.0,160.88910173675305
E50CCC3D-5278-47CD-83CF-F3CF46A47111,Minor Road,Unclassified,0.0,10.722003076912548
744B7587-C3DA-4E15-8DCE-B9CE7CED946C,Minor Road,Classified Unnumbered,0.0,42.708568697965234
01E68993-BC0B-4EE6-841B-A543099C0CDC,Minor Road,Unclassified,66883.70528106311,66883.70528106311
8DD3AE98-3B1C-4F1B-9F3E-7CA061CC98D4,Minor Road,Unclassified,0.0,542.0590752484566
078AC06E-3428-49D4-B4E5-13613B60A7E1,Local Road,Not Classified,0.0,1305.2196798893478
487EA6B6-FB12-4FD9-8428-F8F1372EE93A,Minor Road,Unclassified,0.0,916.4903622815879
F8A7BD52-7AA9-42E6-A694-9DCBE9D6AFCE,B Road,B Road,0.0,2316.986329813821
4004D835-E37C-4A3E-B383-F5DA151BA2C6,Minor Road,Classified Unnumbered,0.0,215.36409288791748
39AED893-C951-499E-977B-E42C4D5EFE4B,B Road,B Road,0.0,1534.0390677654975
705705ED-F415-4D57-A8FA-5C925FC70808,Local Road,Unclassified,0.0,652.2551266670459
D2120728-FC37-4889-8A36-1C720EE10AD1,Restricted Local Access Road,Unknown,0.0,366.0945428503906
471C8863-FDBA-4D32-800B-80F956868890,Local Access Road,Unknown,53395.25324384771,53395.25324384771
3062F97C-414B-4447-9F37-6382D6EB0139,Restricted Local Access Road,Unknown,0.0,985.1975936324403
A24B27F9-D4B2-4AE3-918F-FF95842AD3B9,Restricted Local Access Road,Unknown,0.0,1145.915640814944
BBA05177-ECB4-4C00-90C7-3D5C2B754E74,Minor Road,Classified Unnumbered,0.0,319.46655201120524
B3190219-A036-4EFA-99E0-467FAF48B0F2,Local Road,Unclassified,0.0,893.7753846749849
7E70A7AE-ECC8-4520-91AA-794D55F91719,Minor Road,Classified Unnumbered,0.0,1357.8035015466257
B9E9F896-D827-434C-9040-A0F728985BF0,Restricted Local Access Road,Unknown,0.0,297.94673597966477
786CC2F6-EB68-4940-88CD-DD0999580EDD,Minor Road,Classified Unnumbered,0.0,1365.6485240595184
AE2BF712-3FBD-47E3-AD6C-EECF5AEA1076,Restricted Local Access Road,Unknown,0.0,0.0
873F8AB2-28E8-4714-8AAE-D2E5A4F73A1C,Local Road,Not Classified,12737.498371598373,12737.498371598373
B9515142-8596-464E-82A2-71345AC7E0C8,Restricted Local Access Road,Unknown,0.0,1244.6115044759445
A866B3F5-7563-49F8-BB27-04BAACB0C640,Local Road,Unknown,60018.87754974956,60018.87754974956
FFF62623-9DB4-480D-9893-9B765DBD42F6,Restricted Local Access Road,Unknown,21552.69949597362,21552.69949597362
A5E6855B-A98D-4C40-BEDC-ADA56536F852,Restricted Local Access Road,Unknown,0.0,348.90063189173037
7BD38EA0-9C75-4CFA-A06D-9690EF88474B,Local Road,Unclassified,0.0,1362.4176501512425
2077E80D-4F74-4DB6-996A-C7329F861DB3,Local Road,Unclassified,0.0,268.06256232780515
9E6F0BB8-36D7-4A44-8267-CC36116D0EE6,Restricted Local Access Road,Unknown,0.0,3751.956743934641
D570DAC2-54A2-4D9B-9BAF-277949ADB578,Restricted Local Access Road,Unknown,0.0,434.83238231055606
14119A3B-9220-4F3F-ACDA-9091B3077D34,Minor Road,Unclassified,0.0,152.8115700834264
DEB18394-ED18-47BD-BB73-3B2A36B6DEC4,Minor Road,Classified Unnumbered,0.0,4521.337904110828
DEC50A6E-3756-49F8-B362-09A2F535DFE7,Local Road,Unclassified,0.0,53.13687460523873
