metric,distance_to_polygon_m,distance_to_polygon_edge_m
min,0.0,0.0
p25,0.0,314.0865980033201
median,0.0,712.9611620315875
p75,0.0,1610.8504770861275
p95,53663.04153560574,53663.04153560574
max,109300.81434995092,109300.81434995092
