road_classification,full_count,with_lsoa_count,no_lsoa_count,full_pct,with_lsoa_pct,no_lsoa_pct,no_lsoa_share_of_category_pct
Unknown,442836,322590,120246,20.430189379102835,17.60992212854113,35.820335307365085,27.153618946969083
Unclassified,1060014,974875,85139,48.903627447859506,53.217622477638905,25.362236812316052,8.031875050706876
Classified Unnumbered,190921,133270,57651,8.808119002176182,7.275099420535902,17.17377834443478,30.19625918573651
Not Classified,224878,192053,32825,10.374721402943498,10.484014924680585,9.778308687725653,14.596803600174315
A Road,155538,133691,21847,7.175728250744963,7.298081463426617,6.508049044957878,14.046085201044118
B Road,89286,71875,17411,4.119199633504447,3.923596989952862,5.186599621081229,19.500257599175683
Motorway,4084,3511,573,0.1884148836685725,0.19166259522399304,0.17069218211932366,14.030362389813908
