category,count,pct_fallback
Motorway,171,0.17595307917888564
A Road,6659,6.851880434223388
Trunk A-road,1748,1.7986314760508308
Non-trunk A-road,4911,5.053248958172558
B Road,5452,5.609919226218038
Other,84903,87.36224726037969
