road_function,full_no_ruc_count,full_no_ruc_pct,fallback_count,fallback_pct,fallback_vs_full_no_ruc_pct_point_delta
Restricted Local Access Road,142087,42.32659699963061,38512,39.627514534135926,-2.6990824654946834
Local Road,47516,14.154641754942029,24846,25.56567371507949,11.411031960137462
Minor Road,101435,30.21668672473577,19824,20.398209600246954,-9.818477124488815
A Road,21847,6.508049044957878,6659,6.851880434223388,0.34383138926551027
B Road,17411,5.186599621081229,5452,5.609919226218038,0.42331960513680844
Local Access Road,3084,0.9186992838673546,1036,1.0660081288264651,0.14730884495911056
Secondary Access Road,1739,0.5180343886658008,685,0.7048412820908577,0.18680689342505696
Motorway,573,0.17069218211932366,171,0.17595307917888564,0.005260897059561981
