population,link_years_all_aadt,positive_rla_rows,collision_sum,mean_collision_count_all_link_years,positive_link_year_rate,mean_collision_count_positive_rows
no_lsoa,3356920,30570,36133,0.010763735805440702,0.009106561967517844,1.1819757932613673
with_lsoa,18318650,360685,414859,0.02264681076389363,0.01968949676968554,1.1501975407904403
full,21675570,391255,450992,0.020806465527780815,0.018050505707577703,1.1526804769268124
