road_classification,no_ruc_count,pct_no_ruc
Unknown,120246,35.820335307365085
Unclassified,85139,25.362236812316052
Classified Unnumbered,57651,17.17377834443478
Not Classified,32825,9.778308687725653
A Road,21847,6.508049044957878
B Road,17411,5.186599621081229
Motorway,573,0.17069218211932366
