grid100km,no_lsoa_count,pct_no_lsoa
"3,2",33043,9.843249168880998
"3,5",28469,8.480690633080323
"3,3",26961,8.031469323069956
"2,6",26412,7.867926551720029
"4,4",24799,7.387426569593555
"4,3",23910,7.122600479010521
"4,2",23896,7.1184299893950405
"5,2",20880,6.219987369374307
"3,6",20483,6.101724199563886
"5,3",20242,6.029932199754537
"3,4",15280,4.551791523181965
"6,2",12101,3.604792488352418
"4,5",11622,3.4621021650798944
"2,2",11489,3.4224825137328265
"2,5",11456,3.412652073924907
"2,3",8954,2.6673260012154
"5,4",6206,1.8487184681195856
"6,3",5964,1.7766285761948453
"4,6",3525,1.0500697067550016
