population,n_links,min_m,p25_m,median_m,p75_m,p95_m,max_m
all_filled,335692,2000.0035135166975,2554.318346338906,3379.3517995141947,5839.594484117209,100075.24015054732,117578.41104476538
spatial_5km,238507,2000.0035135166975,2378.5896980454363,2850.6194152414246,3529.624636564322,4528.381945242089,4999.874810366754
fallback_tail,97185,5000.000202489141,7250.524057204945,29194.840797197186,80354.39384319005,111057.64601631227,117578.41104476538
