row_type,site_id,latitude,longitude,snapped_link_id,snap_distance_m,snapped_road_classification,used_by_timezone_profile,used_by_temporal_raw_profiles,stage2_seed42_test_link,webtris_hgv_records,webtris_n_months,webtris_road_type,webtris_hgv_pct,aadf_hgv_proportion,road_classification,collision_count,aadf_hgv_pct,hgv_pct_abs_diff,hgv_pct_signed_diff,n_sites_in_snap_map,n_sites_with_webtris_hgv,n_sites_with_aadf_hgv,n_sites_compared,pearson_r,pearson_p,spearman_r,spearman_p,median_abs_diff_pct_points,mean_signed_diff_pct_points,risk_scores_aadf_hgv_missing_share_all_links
summary,,,,,,,,,,,,,,,,,,,,6003.0,6003.0,2725.0,2725.0,0.32534081516112573,3.297260670969912e-68,0.2934190684153702,3.034998735255073e-55,6.763077097501192,-7.941750126744743,0.9033040422927747
site,14786,52.249771112775,-2.13362280704751,A0E0E728-BB7C-4FAD-93A3-30DDA7DE2974,139.34341343024002,Motorway,1.0,1.0,0.0,12.0,12.0,Motorway,19.316666666666666,0.0321181621046602,Motorway,73.0,3.2118162104660204,16.104850456200644,-16.104850456200644,,,,,,,,,,,
site,14787,54.4108101702192,-1.66107478156284,FF5E1034-69F4-40AC-9A8A-E59357A3CD23,184.2322015595315,A Road,1.0,1.0,1.0,14.0,12.0,A-road,19.342857142857145,0.1442441895746101,A Road,4.0,14.424418957461011,4.918438185396134,-4.918438185396134,,,,,,,,,,,
site,14788,54.3150017138737,-1.57147789565755,A36232AB-742A-4611-9A55-63B334D8E938,31.429718244646967,Motorway,1.0,1.0,0.0,16.0,12.0,A-road,19.9,,Motorway,0.0,,,,,,,,,,,,,,
site,14791,54.4445942473488,-1.66816807521213,CAF1C861-1A59-455C-AB3D-5836857262B6,8.386715934581023,Motorway,1.0,1.0,0.0,31.0,12.0,A-road,13.780645161290321,,Motorway,0.0,,,,,,,,,,,,,,
site,14792,53.554256397808,-2.25185502089198,B7A345A9-4B7B-4C4E-AE7E-278868F8ADEB,51.42139002380238,Not Classified,1.0,1.0,0.0,28.0,12.0,Motorway,18.20357142857143,,Not Classified,0.0,,,,,,,,,,,,,,
site,14793,53.5712706793718,-2.22026040585362,A814D551-5419-4AF7-8E57-EF8761F89351,79.5127647082001,Motorway,1.0,1.0,0.0,35.0,12.0,Motorway,20.614285714285714,0.018979225442421133,Motorway,3.0,1.8979225442421133,18.7163631700436,-18.7163631700436,,,,,,,,,,,
site,14794,53.5777174928273,-2.20383206664211,B038E866-2FEC-4449-8D6D-C09844155BA1,43.2967170892461,Motorway,1.0,1.0,0.0,16.0,12.0,Motorway,18.95625,,Motorway,0.0,,,,,,,,,,,,,,
site,14795,52.2373339620239,-2.13641204968421,E1903C9F-3F5A-46BD-B6B9-C3CFE953E7D2,170.54165629040384,Classified Unnumbered,1.0,1.0,0.0,28.0,12.0,Motorway,17.57857142857143,,Classified Unnumbered,1.0,,,,,,,,,,,,,,
site,14796,54.3623938156404,-1.6265089274611,4B22E945-930C-4874-B949-316AA9CFD6A6,300.25487289726374,Not Classified,1.0,1.0,1.0,24.0,12.0,A-road,19.133333333333333,,Not Classified,0.0,,,,,,,,,,,,,,
site,14797,52.2992017423486,-2.1148118272441,3F9D271B-86C6-454E-8413-6D0AD95FF347,371.6473985518641,Unclassified,1.0,1.0,0.0,36.0,12.0,Motorway,15.572222222222223,,Unclassified,0.0,,,,,,,,,,,,,,
site,14798,54.4261558611884,-1.66600439667384,30DB3DB4-FE42-44F0-9AA2-24337A2FE99E,154.34208904272276,Classified Unnumbered,1.0,1.0,0.0,31.0,12.0,A-road,21.406451612903222,,Classified Unnumbered,0.0,,,,,,,,,,,,,,
