threshold_m,count_at_or_above,pct_no_ruc
2000.0,335692,100.0
5000.0,97185,28.950645234321936
10000.0,64424,19.19140164198134
25000.0,53435,15.917865185944258
50000.0,32556,9.698175708685342
100000.0,16824,5.0117369493464246
