form_of_way,full_count,with_lsoa_count,no_lsoa_count,full_pct,with_lsoa_pct,no_lsoa_pct,no_lsoa_share_of_category_pct
Single Carriageway,2081815,1751504,330311,96.04430241050179,95.61315926664902,98.3970425270784,15.866491499004473
Roundabout,32903,30787,2116,1.5179762285374734,1.6806369464998785,0.6303397161683925,6.431024526638908
Collapsed Dual Carriageway,32345,30395,1950,1.4922329608863805,1.6592379896990226,0.5808896250134051,6.028752511980214
Slip Road,12234,11245,989,0.5644142230169725,0.6138552786367991,0.2946153021221834,8.084028118358672
Dual Carriageway,6123,5827,296,0.28248392083806795,0.3180911257106828,0.08817606615588099,4.834231585823943
Shared Use Carriageway,2001,1971,30,0.09231591141547835,0.10759526493491606,0.008936763461744695,1.4992503748125936
Guided Busway,136,136,0,0.006274344803850603,0.00742412786968472,0.0,0.0
