threshold_pct,threshold_value,n_pred_pos,TP,FP,TN,FN,sensitivity,specificity,balanced_accuracy
50.0,0.004173413384705782,10837790,378220,10459570,10824745,13035,0.966684131832181,0.5085785001772432,0.7376313160047121
75.0,0.01667788438498974,5418900,334217,5084683,16199632,57038,0.8542178374717256,0.7611065707306061,0.8076622041011658
90.0,0.05523810088634493,2167560,238933,1928627,19355688,152322,0.6106835695390475,0.9093874057022742,0.7600354876206608
95.0,0.09761786013841628,1083780,166945,916835,20367480,224310,0.42669103270245745,0.9569243830492078,0.6918077078758327
97.5,0.14932278692722323,541890,109583,432307,20852008,281672,0.28008076574101287,0.97968893995414,0.6298848528475764
99.0,0.22924393653869626,216760,59027,157733,21126582,332228,0.15086580363190247,0.9925892376616302,0.5717275206467664
99.5,0.2996434378623989,108380,35919,72461,21211854,355336,0.09180457757728336,0.9965955681448991,0.5442000728610913
