metric,nearest_lsoa_centroid_distance_m
min,2000.0035135166975
p25,2554.318346338906
median,3379.3517995141947
p75,5839.594484117209
p90,47529.6631786461
p95,100075.24015054732
p99,111818.95146762546
max,117578.41104476538
