feature_set,n_rows,n_features,r2,mae,target_mean,target_std
road_context,300000,12,0.06617132684871507,2.0531873266845126,10.021082878112793,2.799287796020508
urban_imd_grade,300000,9,0.23182038279653194,1.8638153817874792,10.021082878112793,2.799287796020508
post_grade_stage2_feature_surface,300000,25,0.3629587099960937,1.6821203852249462,10.021082878112793,2.799287796020508
