poisson_z_sim,nb_z_sim
1961086,1964250
1961307,1964045
1961074,1964242
1961310,1964340
1961227,1963983
1961070,1964037
1961017,1964125
1961300,1963942
1961242,1964303
1961272,1964185
1960960,1964008
1961064,1964603
1960828,1963938
1961203,1964108
1961077,1964234
1961299,1964352
1960920,1963903
1961246,1964224
1961180,1964023
1961121,1964280
1960968,1964113
1961298,1963931
1960687,1964319
1961268,1964177
1961268,1964129
1961107,1964006
1961347,1964108
1961342,1964169
1961303,1964210
1961171,1964030
1961205,1963916
1961066,1964096
1960956,1964186
1961252,1963945
1961415,1964200
1961149,1964163
1961348,1963867
1961250,1964373
1960698,1964095
1961107,1964125
1961129,1964090
1960983,1964191
1961036,1964401
1961137,1964500
1961351,1963968
1960965,1964053
1961069,1963922
1961126,1964174
1961250,1964226
1961212,1964253
1960932,1963946
1961308,1964091
1960983,1964112
1961068,1964111
1961230,1963975
1960926,1964084
1961183,1964022
1960883,1964114
1961086,1963958
1961360,1964599
1961494,1964118
1961211,1964486
1961352,1964296
1961023,1964217
1960951,1964195
1961261,1964463
1961506,1963926
1961587,1963954
1961377,1964245
1961374,1963998
1961452,1964299
1961103,1964260
1961245,1964308
1961193,1964027
1960998,1964337
1960978,1964471
1960991,1964514
1961260,1964223
1961401,1964406
1960837,1964003
1961300,1964119
1961399,1963887
1960679,1964372
1961215,1964065
1961237,1964218
1961099,1963854
1961069,1964143
1961076,1964324
1961096,1964023
1961407,1964263
1961047,1964228
1961195,1963987
1961106,1963957
1961035,1964277
1960956,1964099
1961407,1963949
1960989,1964277
1961091,1963944
1961173,1964175
1961005,1963998
1961157,1964047
1960807,1963887
1961238,1964144
1961687,1964337
1961132,1964025
1961214,1963966
1961244,1964002
1960919,1964334
1961134,1963791
1961031,1964050
1961258,1964207
1961159,1964242
1961181,1964025
1961054,1964415
1961192,1963763
1961144,1964188
1960944,1964250
1961360,1964342
1961036,1963961
1961096,1964400
1961063,1963714
1960729,1964549
1961319,1964157
1961238,1964477
1960961,1964006
1960951,1964244
1960977,1964640
1961341,1964169
1961240,1964357
1961111,1964119
1960965,1964340
1961183,1964248
1961091,1964007
1960945,1964114
1961165,1963868
1961377,1964084
1961077,1964057
1960918,1964042
1961225,1964145
1961474,1964626
1961044,1964086
1961191,1963740
1961271,1964338
1961194,1963892
1960922,1964421
1961307,1964204
1960973,1964225
1961417,1964434
1961253,1964306
1961222,1964276
1961272,1963933
1961145,1964157
1961156,1964239
1961174,1964470
