threshold_pct,threshold_value,n_pred_pos,TP,FP,TN,FN,sensitivity,specificity,balanced_accuracy
50.0,0.004173413384705782,1083779,221325,862454,1071499,12279,0.9474366877279499,0.5540460393815155,0.7507413635547326
75.0,0.01667788438498974,541890,183174,358716,1575237,50430,0.7841218472286433,0.8145166919775196,0.7993192696030815
90.0,0.05523810088634493,216756,113478,103278,1830675,120126,0.4857707915960343,0.9465974612619852,0.7161841264290097
95.0,0.09761786013841628,108378,69693,38685,1895268,163911,0.2983382133867571,0.9799969285706529,0.639167570978705
97.5,0.14932278692722323,54189,39790,14399,1919554,193814,0.17033098748309106,0.9925546277494851,0.5814428076162881
99.0,0.22924393653869626,21676,17779,3897,1930056,215825,0.07610742966730022,0.9979849562011073,0.5370461929342037
99.5,0.2996434378623989,10838,9306,1532,1932421,224298,0.03983664663276314,0.9992078401078,0.5195222433702815
