road_type,n_sites,mean_pct,std_pct_points,median_pct,q10,q25,q75,q90,max_pct
A-road,802,19.969522753586812,5.9684109091803235,21.288174603174603,10.48392857142857,17.30173611111111,23.734895833333333,26.07125,34.824999999999996
Motorway,3631,18.725653700815844,6.644576824269173,19.269444444444446,9.272222222222222,14.360813492063492,22.8075,26.575,57.041666666666664
Other,1570,12.642962837734334,6.875845536872842,11.35761994949495,5.4870833333333335,8.178472222222222,15.80486111111111,21.82125000000001,58.28333333333333
