road_classification,full_no_ruc_count,full_no_ruc_pct,fallback_count,fallback_pct,fallback_vs_full_no_ruc_pct_point_delta
Unknown,120246,35.820335307365085,35640,36.6723259762309,0.8519906688658168
Unclassified,85139,25.362236812316052,30534,31.41842876987189,6.056191957555839
Classified Unnumbered,57651,17.17377834443478,10760,11.071667438390698,-6.102110906044082
Not Classified,32825,9.778308687725653,7969,8.199825075886197,-1.5784836118394558
A Road,21847,6.508049044957878,6659,6.851880434223388,0.34383138926551027
B Road,17411,5.186599621081229,5452,5.609919226218038,0.42331960513680844
Motorway,573,0.17069218211932366,171,0.17595307917888564,0.005260897059561981
